id,Category,Ambiguity,Cas_No,CAS,Chemical_Formula,Molar_Mass,Chemical_Name,IUPAC_name,Alt_Chem_Name,Acronym,Alt_Acronym,INCHIKEY,DTXSID,DTXCID,SMILES,SMILES_CAN,INCHI_STRING,Note
chem0091,Arene,NA,108-88-3,108883,C7H8,92.141,Toluene,Toluene,NA,NA,NA,YXFVVABEGXRONW-UHFFFAOYSA-N,DTXSID7021360,DTXCID501360,CC1=CC=CC=C1,Cc1ccccc1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",NA
chem0092,Alcohol,NA,108-93-0,108930,C6H12O,100.161,Cyclohexanol,Cyclohexanol,NA,NA,NA,HPXRVTGHNJAIIH-UHFFFAOYSA-N,DTXSID4021894,DTXCID001894,OC1CCCCC1,OC1CCCCC1,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",NA
chem0093,Acetate,NA,109-60-4,109604,C5H10O2,102.133,Propyl acetate,Propyl acetate,NA,NA,NA,YKYONYBAUNKHLG-UHFFFAOYSA-N,DTXSID6021901,DTXCID301901,CCCOC(C)=O,CCCOC(=O)C,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",NA
chem0094,Alkane,NA,109-66-0,109660,C5H12,72.151,Pentane,Pentane,NA,NA,NA,OFBQJSOFQDEBGM-UHFFFAOYSA-N,DTXSID2025846,DTXCID705846,CCCCC,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",NA
chem0095,Alkene,NA,109-67-1,109671,C5H10,70.135,1-Pentene,Pent-1-ene,NA,NA,NA,YWAKXRMUMFPDSH-UHFFFAOYSA-N,DTXSID7025849,DTXCID905849,CCCC=C,CCCC=C,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",NA
chem0096,Haloalkane,NA,109-69-3,109693,C4H9Cl,92.57,1-Chlorobutane,1-Chlorobutane,NA,NA,NA,VFWCMGCRMGJXDK-UHFFFAOYSA-N,DTXSID8020206,DTXCID00206,CCCCCl,CCCCCl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",NA
chem0097,Amine,NA,109-73-9,109739,C4H11N,73.139,Butylamine,Butan-1-amine,n-Butylamine,NA,NA,HQABUPZFAYXKJW-UHFFFAOYSA-N,DTXSID1021904,DTXCID501904,CCCCN,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",NA
chem0098,Nitrile,NA,109-74-0,109740,C4H7N,69.11,Butanenitrile,Butanenitrile,Propyl cyanide,NA,NA,KVNRLNFWIYMESJ-UHFFFAOYSA-N,DTXSID1026823,DTXCID006823,CCCC#N,CCCC#N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",NA
chem0099,Formate,NA,109-94-4,109944,C3H6O2,74.079,Ethyl formate,Ethyl formate,NA,NA,NA,WBJINCZRORDGAQ-UHFFFAOYSA-N,DTXSID6040117,DTXCID4020117,CCOC=O,CCOC=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",NA
chem0100,Cyclic,NA,109-99-9,109999,C4H8O,72.107,Tetrahydrofuran,Oxolane,Oxolane,NA,NA,WYURNTSHIVDZCO-UHFFFAOYSA-N,DTXSID1021328,DTXCID501328,C1CCOC1,C1CCCO1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,NA
